created_at,text,full_name
13-05-2021,"CDC just said fully vaccinated Americans can start doing and enjoying all the things they did before Covid, including not wearing a mask and social distancing. 🧐 oh, ok.....#CovidVaccine #freedom","Missouri, USA"
13-05-2021,"After getting ripped apart in a congressional hearing earlier this week, the @CDCgov has suddenly decided you don't need to wear a mask indoors if you're fully vaccinated. What a coincidence! Now it's OK to ""follow the science"".

#CovidVaccine #MAGA #CDC #Tyranny #faucivirus","New Hampshire, USA"
13-05-2021,"A good start to all the traveling Jacob will be doing starting May 30th thru July 12th.
#covidvaccine 
#ROTC
#BSA
#Montana https://t.co/HDyP4JGlnF","Georgia, USA"
13-05-2021,"Freedom = #vaccinate. I can’t wait to safely go to a restaurant for dinner and to the movies because I am vaccinated 💉 
#VaccinatingAmerica #VaccinesWork #COVIDVaccination #CovidVaccine https://t.co/W0HY7eM4CZ","Florida, USA"
13-05-2021,So this FINALLY happened today! #COVIDVaccine (-ated)  visitors allowed in #nursinghomes ❤️🎉🥳 https://t.co/wMlPUwdYkh,"North Carolina, USA"
13-05-2021,Update: woke up in the middle of the night shivering so much it was like having a seizure had to get a winter sleeping bag to warm up and I woke up just fine 😂 #CovidVaccine https://t.co/GyOvRQDpnV,"Texas, USA"
13-05-2021,"I’ll be hanging out at the #CovidVaccine clinic at Lake Farm County Park today! Come get a 💉 if you need one, say 👋🏼 if you see me! #News3Now https://t.co/JSmfuWsKi0","Wisconsin, USA"
13-05-2021,"#TODAY: Monroe County #CovidVaccine clinics begin accepting 12-15 year-olds with parental consent. 

Appointments can be made at https://t.co/ya4X9qw5qX. Walk-ins are also accepted at county-run clinics. 💉","New York, USA"
12-05-2021,And..... it’s approved! Pfizer Covid vaccine approved for those 12-15 years of age! Go to your website to make an appointment! #501pharmacy #vaccinate #covidvaccine #pfizer #onestepatatime @ 501 Pharmacy https://t.co/OFqeEnKBKD,"North Carolina, USA"
12-05-2021,#netDE #CommunityService #GiveBack #BlackGirlMagic #BlackExcellence #COVID19 #BlackGirlScientist #CovidVaccine #vaccinate #MaskUp #WearAMask https://t.co/hV1DLd9NSl,"Delaware, USA"
12-05-2021,Did my part lol #CovidVaccine https://t.co/lsS8vE83Pl,"Arkansas, USA"
