created_at,text,full_name
10-12-2021,@disclosetv I’m guessing @pfizer isn’t willing to comment on this!? At what point do they just give up!? Lol. #ClownWorld #ClownShow #vaccine #Pfizervaccine #PfizerBioNTech,"Illinois, USA"
05-11-2021,"@zerohedge I REJECT ANY PRODUCT made by the 

#IRRESPONSIBLE 

#RECKLESS 

#INJURIOUS 

#DEADLY

COMPANY 

NAMED

@pfizer

#COVID #vaccine #VaccineMandate #Pfizergate
#Pfizervaccine #Pfizerkids #PfizerLeak @CDCDirector @CDCgov @CDCGlobal @WHO
#mRNA #COVID19 @POTUS @BreitbartNews https://t.co/tD6AerKeqk","Pennsylvania, USA"
03-11-2021,"Listo mi tercer vacuna! 💪🏼

Done my 3er Vaccine! 💪🏼 #PfizerVaccine #Covid @Walgreens https://t.co/taPfXsl1b6","Colorado, USA"
26-10-2021,@drsanjaygupta Will the #Pfizervaccine for kids 5-11 be 1 injection or 2? Haven’t heard via @cnnbrk,"New York, USA"
