created_at,text,full_name
28-01-2021,"I have been watching the #CBER and #Vaccine Advisory Hearing for both the #Pfizer BNT162b2 and the #Moderns #mRNA1273 vaccines and the necessary information to get the #Immunity from #Covid19, requires the #2 Doses of the vaccine 💉!! https://t.co/CQtEh0GQUQ","North Carolina, USA"
27-01-2021,"Soon to be moms— take a look! #pregnant #COVID #Moderna #Pfizer @CBS21NEWS 

https://t.co/cDdDnxsEnU","Pennsylvania, USA"
26-01-2021,"🥼💉 Believe it or not it’s been 21 days! Dr. Betina Franchescini received her second dose of the #COVID19 vaccine today and has completed the immunization treatment. 

Together, one small step at a time we are making everyone safer! 

🔵🔴 🔵🔴 #tocajuniors #MyCOVIDVax #pfizer https://t.co/3w24a4VmbZ","Maryland, USA"
26-01-2021,"🥼💉 Believe it or not it’s been 21 days! Dr. Betina Franchescini received her second dose of the #COVID19 vaccine today and has completed the immunization treatment. 

Together, one small step at a time we are making everyone safer! 

🔵🔴 🔵🔴 #tocajuniors #MyCOVIDVax #pfizer https://t.co/sruh1nISbq","Maryland, USA"
26-01-2021,FYI. Direct from the @ncdhhs website. #501pharmacy #themoreyouknow #fyi #vaccinate #science #covidvaccine #pfizer #moderna #science #scienceisreal @ 501 Pharmacy https://t.co/M5QXsTHCyi,"North Carolina, USA"
26-01-2021,"This week on @whenwifegivesyoulemons we talk 
#podcast #youtube #itunes #spotify #beegees #vaccine #vaccinesafetyadvocate #pfizer #pfizervacine #covid #covidvacccine #marriage #marriagegoals #yankeecandle #patient #massage 
https://t.co/26jMgYwUOE","California, USA"
25-01-2021,"Ya quedó la 1ra! 💉 Se necesita de todos para terminar con esta pandemia! 🙏🏻 No se hagan, peores cosas se han metido! 🤭😜 #covidvaccine #pfizer @ State Farm Stadium https://t.co/sgitC0Dsbb","Arizona, USA"
25-01-2021,One day after the 2nd someone of the Pfizer COVID vaccine and I have ZERO symptoms except a slight sore arm which is expected!! #501pharmacy #whereshan #hanishere #pfizer #covidvaccine #vaccinate #2nddose💉 #protect https://t.co/acTEZekyzi,"North Carolina, USA"
25-01-2021,1st vaccine 💉 ☑️ #pfizer #covidvacccine @ State Farm Stadium https://t.co/d9IRsNeO51,"Arizona, USA"
23-01-2021,"As of 7:45 am, my second dose of the Pfizer vaccine is complete.  #BioNTech #Pfizer #CovidVaccine https://t.co/zHGTdPBItI","Pennsylvania, USA"
22-01-2021,"New York Times reporting this. 

Curious how people view this: Corporate greed or smart business move?

#covid #vaccine #pfizer https://t.co/QpmRdjcPHA","California, USA"
19-01-2021,"My dad is scheduled to receive his first dose Thursday. My mom has now had both #Pfizer doses. 

Whew. Science is incredible. https://t.co/8WTyxLCyN1","Pennsylvania, USA"
15-01-2021,#covid19 #pfizer #vaccinated #1stdose #ukhealthcare #uk @ UK Albert B. Chandler Hospital Pavilion A https://t.co/TqzgopwzNj,"Kentucky, USA"
15-01-2021,"The vaccine becomes useless if the 50 states don't have access to the vital second dose. Currently, there are no more vaccines to distribute to the states. 🇺🇸😕😷 #whoops

#Pfizer #vaccine #Friday #Covid19InSA #COVID19 #Sinovac #FreeAssange #critical #Amakhosi4Life #dreamfanart https://t.co/VteU64IuEI","Washington, USA"
15-01-2021,"Hey,hey! My #covidvacccine update is up, check it out in my IG and FB story. 
.
.
.
#covidround2 #Pfizer #pfizerbiontech #sideeffects #sideeffectsareanimmuneresponse #immuneresponseisagoodthing #kickcovidtothecurb https://t.co/6GbCPRn6iq","Wisconsin, USA"
14-01-2021,First jab completed! #covid19 #vaccine #Pfizer #CovidVaccine #vaccination #Covaxin #jab https://t.co/L2rkGPjCFj,"Virginia, USA"
13-01-2021,@tcabarrus @Margotte57000 Cela souligne l'importance de la 2e injection qui doit être faite dans les 3 semaines (et non 6) après la 1er comme prevu dans le protocole #Pfizer pour maximiser son efficacité et diminuer le risque d'apparition de resistance.,"Florida, USA"
13-01-2021,Got shot up with that mRNA #dose1 #pfizer #covid_19 #corona @ University of Wisconsin-Madison https://t.co/027i6vbDXZ,"Wisconsin, USA"
08-01-2021,Vaccine number 2 (lost my first card...) #pfizer @ University of Colorado Hospital https://t.co/sGf1WdkqUd,"Colorado, USA"
06-01-2021,@pfizer should hire the marketing folks from @WhiteClaw - any deniers would be stopping in the hospital gift shop on the way out for #PFizer coozies ... which btw- can we make those a thing too?,"New York, USA"
06-01-2021,Aparte de que no simpatizo con el presidente #Nito todavía le quieren ver la cara de tontos a los panameños los Estados Unidos cerró un trato con #Pfizer por 100 millones de vacunas y el documento de la transacción es de conocimiento público que oculta la canciller Panameña.,"Virginia, USA"
05-01-2021,"I found these tweets about the #vaccines helpful, maybe you will too. These tweets are from Dr. @JamesEKHildreth, President/CEO, Professor of Internal Medicine, Meharry Medical College #COVID19 #vaccine #CovidVaccine #SARSCoV2  #Moderna #Pfizer https://t.co/cRHBDplcLT","Tennessee, USA"
05-01-2021,#DukeGlobalHealthInnovationCenter  publicó qué al día 11 de diciembre del 2020 #Panamá ya tenía un trato con #Pfizer por 3M de dosis y las mismas llegarían en 90 días. Ahora resulta que bajo presión vienen algunas en camino para enero. Será que estaban destinadas para la cúpula,"Virginia, USA"
05-01-2021,@BlandonJose Según Duke Global Health Innovation Center las farmacéuticas han vendido a los siguientes países la vacuna contra el #Covid19 y #Panamá aparece con un encargo de 3 M de dosis a #Pfizer la fuente lo reporta desde el 11 de diciembre de 2020.  Que se pagó el 28 por un monto de 6M https://t.co/PNwnsZDQnk,"Virginia, USA"
05-01-2021,@easvat Según Duke Global Health Innovation Center las farmacéuticas han vendido a los siguientes países la vacuna contra el #Covid19 y #Panamá aparece con un encargo de 3 M de dosis a #Pfizer la fuente lo reporta desde el 11 de diciembre de 2020.  Que se pagó el 28 por un monto de 6M https://t.co/FnpZc4OFRs,"Virginia, USA"
