created_at,text,full_name
30-05-2021,"Note this says “your employer can ask.” 

Your response can be, “No.” You don’t HAVE to do anything. Call in every day if you want. Corps/bizs commit all the crimes. This is simply another one. #covidvaccine https://t.co/3ytKvfltO4","Wisconsin, USA"
30-05-2021,"#NowPlaying️ True Nature by Jane's Addiction on @amazonmusic
#COVID19 #WhiteAndWeed
#CovidVaccine
#ImFullyVax
#GetVaxMemphis
#UTAvsMEM
https://t.co/la18wQlMoU","Arkansas, USA"
28-05-2021,You mean thousands of people went back to their old jobs after you shut down the country and kept the schools closed!  #CovidVaccine https://t.co/s6vc6Iqb9h,"Arizona, USA"
28-05-2021,"Dont be alarmed if young, healthy, beautiful citizens begin to suddenly die. 
That shows the vaccine is working.

 It works how it works...

#GetVaccinated ? Nah, 

#CovidVaccine #COVID19Vaccine #vaccineSideEffects #vaccinedeaths #learntherisk #wedid 

#vaccinated to death. Sad. https://t.co/TPIGTSpPOL","New York, USA"
28-05-2021,"Billions &amp; Billions being made off of this #CovidVaccine. Big Pharma can kiss my ass, we don’t want your #vaccine. Truth known you colluded with China to make this money. You won’t get mine though, 🖕","Kentucky, USA"
26-05-2021,Even three year olds love science. #CovidVaccine https://t.co/BkR0u1Zd1F,"New Jersey, USA"
26-05-2021,I seriously could not care one ounce if you’re vaccinated #CovidVaccine,"Texas, USA"
26-05-2021,"Today, I am officially fully vaccinated!!! How should I celebrate? #CovidVaccine #Covid","Indiana, USA"
26-05-2021,$DYAI Entered collab with Syngene int. To develop #CovidVaccine in india! #COVIDEmergencyIndia,"Wyoming, USA"
26-05-2021,"No! The unvaccinated are going to lie and mix and infect each other, we all know it! Especially @CDCgov /@GMA. So, just let it happen! So by the fall, we will really know were we stand as a country!
#CovidVaccine
#ImFullyVax
#GetVaxMemphis","Arkansas, USA"
25-05-2021,"I wonder what @POTUS signed away for us.

""#Pfizer also insisted the governments cover the potential costs of civil cases brought as a result of Pfizer’s own acts of #negligence, #fraud, or #malice.""

#CrimesAgainstHumanity 
#CovidVaccine #Nuremberg2
 
https://t.co/TJa1fC5Lz9","New York, USA"
25-05-2021,"@Walgreens please update your system.  The #CovidVaccine system not allow you to talk with someone, it schedules 17 and under for the #Moderna vaccine.  As you know, that vaccine is not approved fir 17 year olds.  This is a dangerous line where your system is failing","Arkansas, USA"
25-05-2021,This decision comes from the Governor of the third worst vaccination state. @BrianKempGA #CovidVaccine Gov. Kemp signs executive order against state requiring vaccine passports   https://t.co/KUAaJ6TBU2,"Georgia, USA"
