created_at,text,full_name
07-07-2021,Hey @POTUS my husband did the patriotic thing and had a stroke!!  Don’t come knocking at my door!!  #modernavaccine,"New Jersey, USA"
13-06-2021,Vacuna lista ! #ModernaVaccine https://t.co/j314bkiCY4,"Illinois, USA"
12-06-2021,So I really love #birds of all kinds &amp; my #jeep just hit 1 😥I already feel like crap 💩 from my second #modernavaccine 💉💉but wearing a #mask😷past year I never got a #cold or #flu don’t tell me mask don’t work now 2teach birds not to sit on the road &amp;🦌 2only cross at crossing https://t.co/KfI8kwlmzy,"Pennsylvania, USA"
11-06-2021,The #money #tree needs some full sun ☀️ I do too a bit of sun before #modernavaccine number 2 then I’ll do some work in or outside depending on any reactions🤷🏼‍♂️ some say same day some no reaction some 2 days later then I’ll be #FullyVaccinated https://t.co/bSzMRuhdXy,"Pennsylvania, USA"
21-05-2021,"Todos ofrecen donar, pero la neta nos urgen ahorita, desde ayer pues. #EUPatrullajeInformativo #Covax #VacunasYaParaTodos #modernavaccine #Pzifer #Guatemala @SoyFlordeMaria @lfvalenzuela ""viernes que te cuido...VIERNES!"" 🤗☕🤗","Michigan, USA"
