created_at,text,full_name
13-07-2021,"As a parent of a child that has been on a ventilator multiple times…you don’t want to experience this &amp; your child should not have to experience this. This is not over. Protect yourself &amp; others.😷💉
@ALPublicHealth 
#Covid #CovidIsNotOver #CovidVaccine https://t.co/6hBAICIlwt","Alabama, USA"
11-07-2021,#vaccine #COVID19 #COVIDVaccination #CovidVaccine https://t.co/3bOfKFcU9V,"Arizona, USA"
10-07-2021,"she said ""i cant prescribe controled substances"" first lie she told me #Truth #FactsMatter #FakeNews #anxiety #LetGoTheInnocent #Covid1984 #NoVaccinePassportsAnywhere #coronamaatregelen #scottytheliar #ivermectin #Nuremberg2 #FireFauci #NoVaccinePassports #CovidVaccine #ADA","Missouri, USA"
09-07-2021,"Send the TN N.G. to my house I need the ammo and my AR needs a lil' brother. (Born in East TN don't like revenuers)  #CovidVaccine
#LIBERALISMISAMENTALDISEASE #BIDENCRIMEFAMILY #SOCIALISM 
Oregon may use National Guard for door-to-door COVID questions https://t.co/dsFVEfyybh","Tennessee, USA"
09-07-2021,"I don’t understand this. Even though you’re fully vaccinated, you can still contract #COVID19. How, then, is this justified? The least we can do is wear a mask and keep the air circulated inside school buildings. O se peinan o se hacen rolos. #CovidIsNotOver #CovidVaccine @CDCgov https://t.co/iI1xnwgg7E","Florida, USA"
07-07-2021,Please #GetVaccinatedASAP to protect yourself and others! #COVID19  #CovidVaccine 💉💉 https://t.co/gYXNtd5aff,"Arkansas, USA"
06-07-2021,@VP hey you should probably tell everyone what the vaccine really is doing to all of us. Definitely NOT helping thats for sure #itsatrap #CovidVaccine #CoronaVaccine #AstraZeneca #COVAX #Bible #Devil #BiblicalTruthsUnfold #vaccine #Covishield #DeltaVariant,"Missouri, USA"
06-07-2021,"Fox News: HA HA @POTUS failed to reach his #CovidVaccine goal!

Also Fox News: 👇

Grossly irresponsible.  
#FauxNews #GOPBetrayedAmerica #COVIDIOTS https://t.co/xEBTQ19VH6","South Carolina, USA"
06-07-2021,"The @CDCgov study shows #CovidVaccine reduces risk of infection by 91% &amp; if you get #COVID19, there are fewer and less severe symptoms… so keep wearing your mask, America 🇺🇸 😷 https://t.co/rMOoGhjPjC","Georgia, USA"
06-07-2021,"Get.  

Me. 

Home. 

Safely.

They don't care here. 

Oh well.  

Good Luck with that.

#COVID19 #NewNormal #CovidVaccine #DeltaVariant 
#OnandOnandOn","Utah, USA"
05-07-2021,Just got my second Pfizer jab 💉 ouch that one hurt. Starbucks helps 😉 #Pfizer #vaccinated #Covid #florida #CovidVaccine #vincentwebb https://t.co/P9BbSBYYtj,"Florida, USA"
05-07-2021,Found out that our hospital is giving us a 500 dollar bonus for getting the Covid vaccine.  Nice perk for wanting to be safe. #COVID19 #VaccinesWork #CovidVaccine,"Colorado, USA"
05-07-2021,"Happy 4th! So grateful for the #covidvaccine making this year’s celebration possible 

🎇: @srmaster &amp; @mctavish1138 https://t.co/0JDlofhvZp","Pennsylvania, USA"
04-07-2021,"https://t.co/2lR5bP4Cft

https://t.co/BiGjPXTZQF

#American GOVERNMENT has been SPYING on it's #CITIZENS #journalists +Foreign Leaders 

WHERE IS THE OUTRAGE 

why was LOCK DOWN under guise of #CovidVaccine SO EASY 

WHERE r TODAYS #ThomasJefferson #BenFranklin #GeorgeWashington","Pennsylvania, USA"
