created_at,text,full_name
20-08-2021,Local #COVID19Vaccine event happening next week in Oakland! ⬇️ https://t.co/tZ9wMeQRTI,"Florida, USA"
20-08-2021,"Check out QueenCityDom's video!
#COVID19
#vaccineSideEffects #COVID19Vaccine
#TikTok https://t.co/fRlbGuQVqB","Georgia, USA"
19-08-2021,"Instead of worrying about a #COVID19Vaccine, and booster, I’m pretty sure #BidenIsALaughingstock for not caring about the lives in #Afghanistan. He’s worried about some lives, and others he don’t give a damn about. SMH, moron!

#thursdaymorning","Kentucky, USA"
18-08-2021,@GovLarryHogan how much $$$ are you getting from the federal government for every #COVID19Vaccine administered. #COVID19 #COVID19Vaccine Is a Scam.,"Maryland, USA"
16-08-2021,"Do not get weary in well doing…let’s get beyond this soon 🤍
#unvaccinated #COVID #COVID19Vaccine #DeltaVariant https://t.co/b5WrG8M7M8","Georgia, USA"
13-08-2021,Patients need access to #Vaccines!#VaccinesSaveLives Why is @WalmartInc denying patients access to an @US_FDA approved indication for #covid19vaccine #booster? #patientadvocacy #PatientSafety #COVID19,"Oklahoma, USA"
13-08-2021,@AlaskaChevy Sent an #immunocompromised patient to @Walmart with a #perscription to get #COVID19Vaccine booster based on @US_FDA guidelines. Pharmacist refused to administer because #walmart hadn’t approved use. When did Walmart get prescribing rights? #medtwitter,"Oklahoma, USA"
13-08-2021,Sent an #immunocompromised patient to @Walmart with a #perscription to get #COVID19Vaccine booster based on @US_FDA guidelines. Pharmacist refused to administer because #walmart hadn’t approved use. @US_FDA @TheFSMB when did Walmart get prescribing rights?,"Oklahoma, USA"
12-08-2021,TN again for the win! #COVID19Vaccine #GetVaccinated #StopTheSpread https://t.co/NGM3fMHxoY,"Wisconsin, USA"
10-08-2021,@AsaHutchinson @ADHPIO What you’re saying is too many in the @gop politicized &amp; demonized the #COVID19Vaccine &amp; now people who foolishly listened too all that BS are dying. Listen to &amp; spread nonsense you pay the price. And sometimes that price is your life #GetVaccinated #COVIDIOTS #COVID19 #Arkansas,"Florida, USA"
10-08-2021,The only lives that really matter to conservatives are their own. #BelAirViv #COVID #covid19 #CovidVaccine #COVIDIOTS #COVID19Vaccine #CovidIsNotOver https://t.co/HT7igDeqIF,"Maryland, USA"
04-08-2021,"When asked what prompted his family to get the #COVID19Vaccine, @CityofJax Mayor @lennycurry said it was made after consulting with doctors and having a family discussion. @FCN2go","Florida, USA"
04-08-2021,. @CityofJax Mayor @lennycurry says he plans no mask mandate but encourages people to abide by rules if businesses require them. Also says will not mandate #COVID19Vaccine for COJ employees but encouraging it. @FCN2go,"Florida, USA"
04-08-2021,. @CityofJax Mayor @lennycurry said this morning his family has received the #COVID19Vaccine. A virtual roundtable discussion with Mayor Curry and the three Beaches mayors is scheduled to begin at 12:05 p.m. @FCN2go https://t.co/93epUO3IQ0,"Florida, USA"
03-08-2021,"Come on!  I believe!!! We can do!
#COVID19Vaccine #unvaccinated #CovidVaccine #DeltaVariant 
GA DPH Single Dose and Two Dose Guide (0:52) https://t.co/wHv8nOHeAj via @YouTube","Georgia, USA"
03-08-2021,"Are #COVID19Vaccine working? #COVID19
https://t.co/Anb7dsEyd7","Indiana, USA"
02-08-2021,#COVID19Vaccine #GetVaccinated #Aurora #GetVaccinatedNow https://t.co/7jrk318zCz,"Illinois, USA"
31-07-2021,This is until 5 p.m. today. One of many opportunities to get vaccinated in #FayettevilleNC and Cumberland County. #Covid19Vaccine https://t.co/X0pXtkvwEw,"North Carolina, USA"
27-07-2021,"This will help you find locations of all 3 available vaccines, including the Pfizer vaccine for kids 12 and up. #FYI #COVID19Vaccine https://t.co/x4D9cHs2Ou","Alabama, USA"
26-07-2021,"As we hear more and more about individuals who have received the #COVID19Vaccine being “infected”, it’s uber important that we use (and teach) the right terms. 

🧵","Minnesota, USA"
23-07-2021,#InFauciITrust #GetVaccinatedNow #DontBeDeadLikeHim #DrFauci #COVID19Vaccine https://t.co/TYfuym8rgq,"Minnesota, USA"
23-07-2021,"#GetVaccinatedNow #GetVaccinated #COVID19Vaccine 
Don't be a fool. Get your freaking vaccinations. Go back in History prior to a polio vaccine. Look at these photos. https://t.co/E89GvLP8WK","Pennsylvania, USA"
22-07-2021,Know what’s worse than missing someone’s birthday?   Missing your own.   Get your #vaccine you filthy animals. #GetVaccinatedNow #COVID19Vaccine #VaccinesWork #,"Missouri, USA"
21-07-2021,"Translation: “Six months ago when you were crying about a stolen election, you should’ve been taking your monkey ass to the Walgreens and getting the #COVID19Vaccine! Now… open wide and count down from one hundred!” https://t.co/7BGaMdm7T0","Georgia, USA"
15-07-2021,Match play @RiverOaksMN and waiting for Big Knocker's @moricemdphd appearance with @DanBarreiroKFAN to discuss #COVID19 and #COVID19Vaccine. https://t.co/d6zXAqcryc,"Minnesota, USA"
11-07-2021,https://t.co/L3q13HNoVn #DeltaVariante #CovidIsNotOver #COVID19Vaccine,"Pennsylvania, USA"
07-07-2021,@SDECoxHealth Thanks for being brave whist surrounded by Covidiots Spreadnecks &amp; Maskholes.  #VaccinesWork #PreventWhatCanBePrevented #COVID19Vaccine #vaccinated,"Missouri, USA"
02-07-2021,"ไปฉีด Pfizer “เรียน &amp; เที่ยวที่อเมริกา”  ทำไมถึงควรมาฉีดที่อเมริกา! 🇺🇸 ง่าย &amp; เลือกเองได้. เตรียมตัวสัมภาษณ์ F1 เเละท่องเที่ยวยังไง เเละเป็นอย่างไง? 
 มีความคิดเห็นอย่างไรคอมเม้นในคลิปYTได้ครับ https://t.co/pMnzonjjmG 

#vaccine #covid19 #covid19vaccine #อาการ #sinovac #โควิด19 https://t.co/S30j8vksAR","Illinois, USA"
02-07-2021,It’s not over. PLEASE get your #COVID19Vaccine! ✝️🙏🏻 https://t.co/akqOir0TRM,"Texas, USA"
23-06-2021,Laughing hyena @VP wants your neighbors to harass you to get the #COVID19Vaccine #experiment https://t.co/bZb3jOnoFQ,"Florida, USA"
22-06-2021,Covid-19 Vaccine Pop-up Clinics #COVID19Vaccine #GISDALWAYSCONNECTED #GISDCARES https://t.co/UGgmoSGEAN,"Colorado, USA"
22-06-2021,Our team had so much fun with the Phillies Phanatic &amp; Victor Vaccine at the @ElmwoodParkZoo yesterday vaccinating community members! Thanks to @mcicpa &amp; @GiantFoodStores pharmacy for their hard work! #GetVaccinated #ACLAMOHealth #COVID19Vaccine https://t.co/7Q4Vf1FlJB,"Pennsylvania, USA"
21-06-2021,I will continue to wear a #mask in public until the #vaccination rate exceeds the graduation rate #COVID19Vaccine,"Missouri, USA"
14-06-2021,The American Medical Association says 96% of ‘practicing physicians’ have been fully vaccinated for COVID-19! @AmerMedicalAssn #COVID19Vaccine,"Florida, USA"
12-06-2021,This is the equivalent of eating nature’s ass #COVID19Vaccine https://t.co/hdx1qeHMsS,"Mississippi, USA"
06-06-2021,@AmyAThatcher Why not have vaccinated/not vaccinated ships...#carnivalcruiseline #COVID19Vaccine,"Indiana, USA"
05-06-2021,"Welp got sent home from work, I feel like shit. #COVID19 #COVID19Vaccine","Oregon, USA"
05-06-2021,"Getting vaccinated with @BernieSanders  🤣🤣
#VaxUpIl #COVID19Vaccine https://t.co/OdfzndKcf9","Illinois, USA"
03-06-2021,#COVID19Vaccine https://t.co/pr3tErAeSo,"Maine, USA"
30-05-2021,"Can people agree that vaccines AND immunity built up from prior #COVID19 infection has helped crash the case count in the United States or would that go against the narrative of the pro-vaccine and anti-vaccine crowd? Believe it or not, both can be correct. #COVID19Vaccine","Minnesota, USA"
29-05-2021,Why would u find it necessary to pay people to take a vaccine that would save their lives? Make it make sense. 3:10AM 5/29/21 @CDCgov @JoeBiden Put POTUS Back Up. @Pontifex @WHO @NIAIDBioIT @JNJNews @pfizer @moderna_tx @AstraZeneca U No Y. @BillGates @CivilRights #COVID19Vaccine,"Wisconsin, USA"
28-05-2021,"Dont be alarmed if young, healthy, beautiful citizens begin to suddenly die. 
That shows the vaccine is working.

 It works how it works...

#GetVaccinated ? Nah, 

#CovidVaccine #COVID19Vaccine #vaccineSideEffects #vaccinedeaths #learntherisk #wedid 

#vaccinated to death. Sad. https://t.co/TPIGTSpPOL","New York, USA"
28-05-2021,@gradydoctor I am speechless. Your speech (poem) at #CUAnschutzGrad21 was incredible. So thankful for my #COVID19Vaccine that allowed me to hear you send #CUSOM21 off in person. All I have to ask is #SameTimeNextYear? Thank you 🙏🏼. @CUMedicalSchool @CUAnschutz https://t.co/JGUodrvdh1,"Colorado, USA"
28-05-2021,#COVID19Vaccine #BackToNormal https://t.co/tLk9KS49CS,"Virginia, USA"
27-05-2021,#COVID19Vaccine #HealthEquity https://t.co/NgurRZm9gH,"California, USA"
26-05-2021,@BishopJEA and I are delighted to partner with DeKalb County District 1 Commissioner Robert Patrick in support of the Covid-19 Vaccination. #billboards #fullyvaccinated #covid19vaccine #communityhealth #communityleaders #communityservice #TeamAlvarado https://t.co/X0Vz1ldpLh,"Georgia, USA"
25-05-2021,#Covid19Vaccine #COVID19 #why C.D.C. Will Not Investigate Mild Infections in Vaccinated Americans https://t.co/qCkHqDNSE7,"Pennsylvania, USA"
