created_at,text,full_name
30-03-2021,"Great job! Get the #CovidVaccine. #Prevent spread, #ModelDeepInterdependence, #PreventDisease #PreventDisability. #WearAMask #SocialDistancing works. https://t.co/uOmekbEGkc","Georgia, USA"
30-03-2021,Next week the state of Delaware is expanding vaccine eligibility to all Delawareans 16 and older. #decovid #CovidVaccine #COVID19 #pandemia #Salud https://t.co/6ZuAgLW3u4,"Delaware, USA"
30-03-2021,I’ll be getting my finale #CovidVaccine shot on Friday. This is how I imagine the outcome. https://t.co/cqodVhodca,"New York, USA"
30-03-2021,Big daaaaayyyyyy here!! 😭🖤🙌🏼 I could not be happier to have shot #1 in the books. What a sense of relief and finally an actual glimpse of some sort of light at the end of this hell hole tunnel! #CovidVaccine #COVID19 https://t.co/4nPAObX6Hl,"Nebraska, USA"
30-03-2021,Little late to the game but getting my first vaccine on April 13th! 🥳 🩺 #donthesitatevaccinate #CovidVaccine,"Indiana, USA"
30-03-2021,Got my vaccine !! ☺️☺️☺️☺️ #FirstDose #CovidVaccine,"Pennsylvania, USA"
30-03-2021,#CovidVaccine https://t.co/gv7TmHH0lZ,"Pennsylvania, USA"
30-03-2021,"Second shot done yesterday. Thankful for science, electrolytes, and Tylenol...not necessarily in that order. #CovidVaccine https://t.co/QqOIBwHLy9","Massachusetts, USA"
30-03-2021,Finally some people are thinking about this. Too many restrictions are costing us more in the long run. #LongCovid #America #BorderCrisis #CancelCancelCulture #CovidVaccine #VaccinePassports https://t.co/cs8kmjPd5H,"Texas, USA"
30-03-2021,Texans - if you can legally own a driver license you can get a #CovidVaccine. Sign up now https://t.co/Qf3vzWsoyI,"New York, USA"
29-03-2021,"#WashYourHands frequently, #WearAMask in public, practice #PhysicalDistancing, and get a #CovidVaccine when it’s your turn. https://t.co/P3tJkDonMq","West Virginia, USA"
29-03-2021,"We got notes on our doors and tomorrow, we get our second Pfizer shot! #CovidVaccine","Kentucky, USA"
29-03-2021,"And then here comes New York! NY expands COVID vaccine eligibility to those 30+ on Tuesday; 16+ next week. Get your shots, friends! #COVID19 #CovidVaccine 

https://t.co/PVeJwsY33c https://t.co/vQPeN45a9u","New York, USA"
29-03-2021,Colorado friends! #Colorado opening up COVID-19 vaccines to everyone 16 and older beginning Friday. #COVID19 #CovidVaccine  https://t.co/liGVrrs7Yv,"New York, USA"
29-03-2021,"Round two, let's get after it. 💪🏼 

#CovidVaccine https://t.co/s9NMhxU4K4","New York, USA"
29-03-2021,I’ve been happy to help part-time as a substitute at 2 @HCPSNC schools &amp; I’m very grateful for the opportunity to roll my #sleevesup4schools with my #CovidVaccine from @happywithpardee @Rotary @4SeasonsRotary #peopleofaction #rotarygeek #MaskUp https://t.co/RaUbtZE2mi,"Georgia, USA"
29-03-2021,Wake up at 6:55 in the morning while on vacation. 20 minutes later have a #CovidVaccine appointment @Publix Already a successful Monday!! @BonnieLaden https://t.co/IolKSHDqyc,"Florida, USA"
29-03-2021,What I pictured in my head when I got my first dose of the #CovidVaccine https://t.co/KZfqW0wjqn,"Arizona, USA"
29-03-2021,"He got shot y’all! 🦠💉💪🏻🩹👏🏻
#vaccinatestate48 #covidvaccine #covid19vacccine #covidbegone #operationvaccination @ State Farm Stadium https://t.co/KL4kocGwfm","Arizona, USA"
29-03-2021,Vaccines in arms = Return to the life we love! #CovidVaccine https://t.co/W9n5yp034s,"Ohio, USA"
29-03-2021,"I didn’t think I’d ever find one anytime soon, but somehow I got lucky and just scheduled my first and second vaccine appointments! WOOOOOO! 🎉🎉 I cannot waaaait! #CovidVaccine","Nebraska, USA"
29-03-2021,@kathygriffin I got my first dose of the #CovidVaccine #DollyVaccine and she’s proud of herself!!! #vaccination #ByeCovid,"Delaware, USA"
28-03-2021,Am so proud of all of the volunteers and my colleagues at @graniteuwnh for executing flawless mass vaccination sites! #Pfizer #CovidVaccine #volunteers https://t.co/weLzZDJjeU,"New Hampshire, USA"
28-03-2021,"If you’re feeling the punch of the #CovidVaccine second dose, you are NOT alone. Turns out, it’s a good sign. Thanks @d_yetter for sending this piece. https://t.co/H6JnKL992G","Kentucky, USA"
28-03-2021,If you have symptoms 24 hrs after getting your  2nd #COVID19 vaccine are you  potentially contagious? Should I avoid being around people? #Science #MedTwitter #CovidVaccine #Health,"New York, USA"
28-03-2021,"After having months to think about whether or not I'd get the vaccine, the moment to make the decision happened. It's such a personal decision and it's something that each individual needs to carefully decide. #COVID19 #vaccine #johnsonandjohnson #CovidVaccine https://t.co/3W9yN0FG0S","Florida, USA"
28-03-2021,"Keep going, Louisiana! #SleevesUpLA
#CovidVaccine 
https://t.co/cMzlkxlPYt https://t.co/QFd2OGMqCC","Louisiana, USA"
28-03-2021,Less than 24 hours In w/ moderna shot #2 and my arm hurts like a mofo and a dull headache. No real temps but I’m sitting at 99 and I’m usually around 97.4 so elevated for me but fine. I tapped on my microchip to see if I could order coffee with it but no such luck. #CovidVaccine,"Wisconsin, USA"
28-03-2021,I got to hug my mom for the first time in over a year today. ❤️ #CovidVaccine,"Colorado, USA"
28-03-2021,"I got my first #CovidVaccine shot yesterday and I got hit hard with some of the side effects. Lots of water, some ibuprofen, and rest for me this weekend.","Pennsylvania, USA"
28-03-2021,"We can CLEARLY see who runs the world by checking #CovidVaccine rates amongst nations. Why are the wealthier nations getting priority over the more impoverished countries? 🇨🇦🇺🇸🤫😷

#African #mexico #Epstein #disparity #plandemic #WarAgainstThePoor #FreeAssange #Pfizer #bigPharma https://t.co/vdmPtlXa8g https://t.co/hQir5DKNeN","Washington, USA"
27-03-2021,The micro-chip that comes with the #CovidVaccine does it automatically. https://t.co/xRkJjpG3XP,"Florida, USA"
27-03-2021,"First shot done! Thank you, @DollyParton!

#CovidVaccine #Moderna #teammoderna #Science #FauciOuchie https://t.co/7XLGNgOMLA","Ohio, USA"
