created_at,text,full_name
31-07-2021,@DodgerScot In a nanosecond #CovidVaccine #Booster #COVID19,"Colorado, USA"
31-07-2021,"#NowPlaying my ex's best friend [Explicit] by Machine Gun Kelly &amp; blackbear on Amazon Music
#COVID19
#CovidVaccine
#ImFullyVax 💉
#GetVaxMemphis 🤒 🤒 🤒
#DeltaPlusVariant ☠️ ☠️ ☠️ ☠️
#DefendMemphis
#FC901 
https://t.co/0DqCU4hq41","Arkansas, USA"
31-07-2021,"""Autobots, lockdown is hunting us and humans are helping.  We need to know why."" #OptimusPrime 
@JoeBiden
@JackPosobiec
@VP

#nolockdowns
#COVID19 
#CovidIsNotOver 
#CovidVaccine 
#covidsydney","New Jersey, USA"
31-07-2021,"*I misspoke, I’m not done. Now why do you think #CovidVaccine is being pushed on children as young as 5? Besides @FDA wanting your kid for a lab rat, since vaccinations plateaued at ~ 51%, “they” are counting on those who were first in line for it, have been wringing their hands","Florida, USA"
31-07-2021,"To round this thread 🧵 out, take a moment to recall &amp; ponder the number of #CovidVaccine recipients *Biden keeps regurgitating as someone whispers into his earpiece…you guessed it, he (they, whoever they are) wanted 70% by July 4th. Roughly 2/3+ a few of the entire population.","Florida, USA"
31-07-2021,"“He who wishes to secure the good of others, has already secured his own.”
Confucius #MaskUp #vaccinated #CovidVaccine #DeltaVariant https://t.co/aiSOjUbUut","Missouri, USA"
31-07-2021,My baby got her first CoVid vaccine dose today. Maybe she will set a good example for some adults. #CovidIsNotOver #GetVaccinated #CovidVaccine https://t.co/NuDPqS9ya9,"Georgia, USA"
30-07-2021,How much do you want to bet that everyone still wearing a mask in the #FreeStates is also vaccinated? #MaskMandate #CovidVaccine,"Texas, USA"
30-07-2021,“We the people” should stand for something in today’s America! Freedom of choice for all. #DoNotComply #AmericaFirst #CovidVaccine,"Georgia, USA"
30-07-2021,@Cat_MarqueeLV @MJWillson7 You said it. Nothing in life is guaranteed. Vaccine sure isn’t. #life #CovidVaccine #lol,"Georgia, USA"
30-07-2021,"Plus, over 344 million doses have been given in the U.S. already. You can get your vaccine and help keep us all safer, too.

Get the facts @ https://t.co/sl4aCjCveS or call 877-CO-VAX-CO. #PowertheComeback #COVIDVaccine #DoingMyPartCO #partnership","Indiana, USA"
30-07-2021,"If y’all think only #MAGA folks are refusing to #CovidVaccine &amp; at same time y’all think they’re the problem w/America &amp; a bunch of racist rednecks (still not sure what y’all think definition of #racist is), then STFU &amp; those you despise die of #COVID19 #IMHO #FiercelyConversing","Florida, USA"
30-07-2021,"So Walmart has made it mandatory for employees to wear masks again, after not wearing them for months...and some businesses are making it mandatory for employees to have the vaccine...
#COVID19  #CovidVaccine","Tennessee, USA"
30-07-2021,"Why did it take a visit to the ICU and nearly dying of #COVID19 to convince this pastor who’s railed against the #CovidVaccine to finally get vaccinated … when over 600,000 Americans 🇺🇸 had already died from being unvaccinated?!?

And he still won’t tell others to #GetVaxxed https://t.co/myniHJXr13","Georgia, USA"
29-07-2021,"Reminder, while Little Marco Rubio tries to mock the decorated veteran, now @SecDef for following #COVID19 protocols, he jumped the line to make sure his healthy, 50 y/o ass got a #CovidVaccine before the elderly &amp; venerable. #RetireRubio &amp; check out @AllenLEllison instead. https://t.co/W1XizHTxWl","Florida, USA"
29-07-2021,Joe Biden forcing you to inject yourself with a food and drug on approved vaccine. Who's ready for the microchip next. #CovidVaccine #Forcetheshot,"Florida, USA"
29-07-2021,.@EmilyRussellADK bringing North Country voices about #CovidVaccine to the national stage on @npratc 📻 https://t.co/oKCqbRPtQf,"New York, USA"
29-07-2021,"Yes! We won the gold medal 🥇 in stupidity! 👏🏾👏🏾👏🏾

Throw away those silly masks 😷 

Discard those needles &amp; useless vials of #CovidVaccine 💉 

We are free to catch #COVID19!

We are free to spread it freely amongst our family, friends, and unsuspecting strangers on the street! https://t.co/H6CasLdUpU","Georgia, USA"
29-07-2021,"@metalmunoz13 I'm just waiting for my superpowers to kick in.  I'm hoping for Rogue from the X-Men.

#CovidVaccine","Texas, USA"
29-07-2021,#CovidIsNotOver #Pfizer #CovidVaccine #GetVaccinated #COWIN #AstraZeneca #COVID19 #COVID #coronavirus #DeltaVariant #CDC #CoronaVirusUpdates https://t.co/d4V3NmVtPm,"South Carolina, USA"
29-07-2021,"👇🏾This tip from the ER isn’t gonna sway one anti-vaxxer to run out and get the #CovidVaccine - at this point, nothing will - but it does illuminate the selfishness of the unvaccinated slobs who’re getting folk sick, creating new variants &amp; taking beds from folk who need surgery https://t.co/JNQmESpI05","Georgia, USA"
29-07-2021,"Get the vaccine!  Science works!  It did back then and it will now!
#COVID 
#CovidIsNotOver 
#CovidVaccine 
It's up to you..... https://t.co/n4ZrPOpSAW","Pennsylvania, USA"
29-07-2021,Get the vaccine. It’s the American thing to do. #CovidVaccine,"Massachusetts, USA"
29-07-2021,#CDC #mask #CovidVaccine https://t.co/VxoPn1aPFs,"Pennsylvania, USA"
28-07-2021,"Aside from not getting sick &amp; dying, can those of us who #TrustScience &amp; got our #CovidVaccine as soon as we were able get some kind of prize? I'm super annoyed at these idiots getting rewarded for being idiots &amp; being late to the party. 
#GetVaccinated #GetVaccinatedNow","Florida, USA"
28-07-2021,"Can we just put the #vaccine in the biscuits and gravy at Cracker Barrel? Those places have been consistently packed this entire time, so you know no one going there is vaccinated. #CovidVaccine #COVID #antivaxxers","Indiana, USA"
28-07-2021,"“IT’S MY CHOICE!” #CovidVaccine

Right!?!? #AbortionActivists","Indiana, USA"
27-07-2021,People are hesitant for #CovidVaccine  and me and my doctor friends are like when can I get another shot please. Like I had Pfizer and for my next round I’ll take moderna. Line em up. 💉🥃 hit me.,"Georgia, USA"
27-07-2021,"#OBGYN and #pregnant patients (in addition to basically everyone else), PLEASE read below and get your #CovidVaccine ASAP🙏🏽Email your doc for ?s https://t.co/WIfMwOSIlw","South Carolina, USA"
27-07-2021,👏🏾 and stomp your 👣 boom we got a #CovidVaccine in less than a year. Yet people been dealing with STDs since before my era began https://t.co/Pbp534BcsM,"Delaware, USA"
27-07-2021,THEY are pushing this #CovidVaccine but the cure for cancer still not ready https://t.co/DeGOLhAPvM,"Delaware, USA"
27-07-2021,"@Filippo60 No deaths reported.
We get side effects from most medications, alcohol and cannabis.
Most of society use one or more. 
#CoronavirusPandemic
#DeltaVariant 
#CovidVaccine","Virginia, USA"
27-07-2021,#governmeharderdaddy #GavinNewsom #California #Covid_19 #CovidVaccine https://t.co/mEKJDDbJPZ,"California, USA"
26-07-2021,Vaccination in pregnancy is supported by all major OBGYN associations. We must continue to support &amp; educate pregnant patients about the importance of the #CovidVaccine! https://t.co/b5jO8kLbIa,"Florida, USA"
26-07-2021,"The world needs you vaccinated. If you haven't yet, please consider it today.  #vaccination #VaccinesWork #COVIDVaccination  #CovidVaccine","Virginia, USA"
26-07-2021,"Do not become #CUCP, get your #COVIDVaccine, even if you become a #CVCP (Covid vaccinated Covid pneumonia) you are less likely to need #hospital, if you need hospital you will have shorter #LOS (length of stay), you will be less likely to need #ICU and leas likely to #die","Florida, USA"
26-07-2021,"""La que encuentre, me la pongo"" menos la de municipal mi señor @JkSandoval_ #Hora15 #CovidVaccine","Kentucky, USA"
26-07-2021,#EEUU la pandemia de los NO vacunados. Hay un montón de irresponsables que NO se quieren vacunar. Las cosas que gente con aspecto medianamente inteligente dice dan ganas de agarrarlos del pelo. @Bea_Colmenares @JkSandoval_ #CovidVaccine,"Kentucky, USA"
26-07-2021,My wife and I were vaccinated (Pfizer) in March by the MS National Guard.  Last week she tested positive.  Today I tested positive.  @TCBPubHealth did we get a placebo?  We aren't the only ones I know.  #nothappy #COVID19 #CovidVaccine,"Mississippi, USA"
25-07-2021,Great thread on often heard myths about the #CovidVaccine https://t.co/eF38tjIHwl,"Missouri, USA"
25-07-2021,Can you name a public figure with less credibility than #Fauci?  #COVID19  #CovidVaccine https://t.co/p45W5TG1h7,"Wisconsin, USA"
25-07-2021,“It’s beginning to feel a lot like …2020” please get vaccinated #CovidVaccine @CDCgov @EmoryUniversity @emoryhealthcare,"Georgia, USA"
25-07-2021,"#NowPlaying Hummer (Remastered) by The Smashing Pumpkins on @amazonmusic
#DONDA
#MakeKanye2006Again
#getoutkanye 🎧 ✨ 🤪
#CovidVaccine
#ImFullyVax 💉
#GetVaxMemphis 🤒 🤒 🤒
#DeltaPlusVariant ☠️ ☠️ ☠️ ☠️
#DefendMemphis
#FC901 
https://t.co/ZxoP57oB3v","Arkansas, USA"
25-07-2021,Pandemic of the vaccinated #Covid_19 #CovidVaccine #COVID #CoronavirusPandemic https://t.co/J9y3FvHdGd,"Wisconsin, USA"
23-07-2021,"More than 1,000 cases of the coronavirus have been reported in Tennessee who are fully vaccinated with 195  hospitalized &amp; 27 deceased.
97% of all hospitalizations &amp; deaths are from nonvaccinated Tennesseans. 🙏🏼💔
#Tennessee #covidvaccine
#Delta #COVID19
https://t.co/eTP5xIp2Gd https://t.co/u1NVSZ7kLY","Tennessee, USA"
23-07-2021,Dead people = more job openings and a stronger economy! Don’t get the vaccine! #CovidVaccine #antivaxxer,"Virginia, USA"
23-07-2021,Lol!! “Why do you need to have that information?”???? The better question is -why are you so unprepared all the time? Oh I know. Because your boss is. #CovidVaccine #transparency https://t.co/nN1bkksWvj,"Virginia, USA"
23-07-2021,"#NowPlaying How Soon Is Now? (2011 Remaster) by The Smiths on @amazonmusic
#DONDA
#MakeKanye2006Again
#getoutkanye 🎧 ✨ 🤪 🤪
#CovidVaccine
#ImFullyVax 💉
#GetVaxMemphis 🤒 🤒 🤒
#DeltaPlusVariant ☠️ ☠️ ☠️
#DefendMemphis
#FC901 
https://t.co/qQmJBzBpAl","Arkansas, USA"
23-07-2021,"#NowPlaying Voices Carry by 'Til Tuesday on @amazonmusic
""In The Dark, I'd Like To Read His Mind.""
""Greatest lyric in rock music 🎶! ""
#DONDA
#MakeKanye2006Again
#getoutkanye 🎧 ✨ 🤪
#CovidVaccine
#ImFullyVax 💉
#GetVaxMemphis 🤒 🤒
#DeltaPlusVariant ☠️
https://t.co/WR6eyDDoH1","Arkansas, USA"
23-07-2021,"#NowPlaying Everybody Wants To Rule The World by Tears For Fears on @amazonmusic
#DONDA
#MakeKanye2006Again
#getoutkanye 🎧 ✨ 🤪 🤪
#CovidVaccine
#ImFullyVax 💉
#GetVaxMemphis 🤒 🤒 🤒
#DeltaPlusVariant ☠️ ☠️ ☠️
#DefendMemphis
#FC901 
https://t.co/GDhGJoc9iB","Arkansas, USA"
