created_at,text,full_name
30-06-2021,My 12 year old got her first dose yesterday 💉 #CovidVaccine #GetVaccinated https://t.co/6BndZkzP7R,"Florida, USA"
29-06-2021,"As a J&amp;J vaxer who keeps reading about Pfizer and Moderna, I'm wondering what surprises await?!? #CovidVaccine https://t.co/rpTuA5ya1x","Michigan, USA"
28-06-2021,"@nytimes I’m not surprised that #teens #GenZ will advocate to protect themselves and their futures regarding #CovidVaccine 

They’re #smarterThanYouThink
@WeRGenZ #vaxteen","Florida, USA"
28-06-2021,This is shameful and ridiculous! @Disney stop acting like this is the ebola plague!! Heard immunity is HERE. We are vaccinated and those that aren’t have ANTIBODIES! Stop this nonsense. #CovidVaccine #Antibodies #cancelcancelculture #immunesystem #Disneyland #DisneyWorld #WakeUp https://t.co/KmtyPqntCk,"Texas, USA"
28-06-2021,Very tanned and fully vaccinated. #CovidVaccine #California #travel #sundayvibes #America https://t.co/VCN2cpaRRZ,"California, USA"
27-06-2021,#COVID19 #CovidVaccine #MaskUp https://t.co/k4UY9EOGyS,"Pennsylvania, USA"
27-06-2021,"And 2 keep it at a 1k 4 U. 
I'm really being nice. #SaturdayMotivation #CovidVaccine #COVID19 https://t.co/iL24PaQCBB","Wisconsin, USA"
26-06-2021,"The Drive-Thru #CommunityCareFair2021 is taking place TODAY at 2PM (rain or shine), at 250 South Schuyler, in #Kankakee. 400 families will receive 10lbs of fresh fruit &amp; veggies, 10lb boxes of chicken, #CovidVaccine (Pfizer) and wellness kits. Sponsored by @BCBSIL &amp; Still I Rise https://t.co/pRZSOwYzYm","Illinois, USA"
26-06-2021,Vaccines save lives. Get your Covid-19 jab. #ThisIsOurShot #CovidVaccine #COVID19 https://t.co/fTScileYxB,"Minnesota, USA"
26-06-2021,"Yes, the entire @NCStateBaseball and everyone else over the age of 12 should get the #CovidVaccine. There must be leadership from all corners to facilitate us reaching 100% vaccinated worldwide. That’s the only way we fully rebound from the pandemic.","North Carolina, USA"
