created_at,text,full_name
30-04-2021,And that's #2. #CovidVaccine https://t.co/bvsBp2jtvU,"Montana, USA"
30-04-2021,"Frightening to think they tried to pass this when 423 Hasidic Jews had measles. Y'all got mad at us for pointing it out.
Now that EVERYONE refusing the #CovidVaccine = #antivaxers and
#vaccinehesitancy is a #worldhealththreat
YOU GO TO DETENTION CAMP TOO!! https://t.co/gCKgIBqq5c","New York, USA"
30-04-2021,Just got that second vax baby!!!! #CovidVaccine #PfizerVaccine #PfizerGang #thatsbaseballbaby,"North Carolina, USA"
30-04-2021,"Because this is #putnamcountyny, where the ""leadership"" trends ""conservative,"" i.e., petty, provincial, pro-Trump, &amp; problematic. Putnam feeds into foolishness. #partisanputnamcounty #CovidVaccine
#pandemic #iloveny 
https://t.co/6ArNReB9Ti","New York, USA"
30-04-2021,@thehill Say that part 1st before #CovidVaccine comments Joe Garrelli.... https://t.co/5uodVJdUn3,"Florida, USA"
30-04-2021,"Finally. One down, one to go! 
#covidvaccine #ᴄᴏᴠɪᴅᴠᴀᴄᴄɪɴᴀᴛɪᴏɴ #wallgreens #onedownonetogo @ Germantown, Tennessee https://t.co/a7vpzlNyuq","Tennessee, USA"
30-04-2021,"#NowPlaying️ Kite (Live From The Fleet Center, Boston, MA, USA / 2001) by @U2 on Amazon Music
#COVID19
#CovidVaccine
#ImFullyVax
#GetVaxMemphis 
https://t.co/ujtXFMyRfh","Arkansas, USA"
30-04-2021,"#NowPlaying️ Last Train To Paris (Deluxe Version) [Explicit] by Diddy - Dirty Money on @AmazonMusic
#COVID19
#BidenAddress
#CovidVaccine
#ImFullyVax
#GetVaxMemphis 
https://t.co/Vsbwxu0x6P","Arkansas, USA"
30-04-2021,"#NowPlaying️ Big Momma Thang [Explicit] by Lil' Kim on Amazon Music
#COVID19
#CovidVaccine
#ImFullyVax
#GetVaxMemphis
#DraftKings
https://t.co/8mTiJeS4bx","Arkansas, USA"
29-04-2021,Did I just understand that @Uber commercial right?  They’re not donating rides for #CovidVaccine they’re wanting us to donate to them to cover the rides???,"Texas, USA"
29-04-2021,"Science 💉 goes BIG FLY!

#CovidVaccine #2ndDose https://t.co/LEiDwuggnE","Florida, USA"
29-04-2021,"Talking about a super spreader event! 
Hey @3onyourside that's how @nike treats it's own employees! Probably paying full price!
#COVID19
#CovidVaccine
#MaskUpMemphis
#GetVaxMemphis","Arkansas, USA"
29-04-2021,"Had an amazing chat with Pastor Carl Gallups about his latest book ""The Summoning"", end times as well as how and where #COVID19 fits into it. Stop on in y'all.

#biblicalprophecy #CovidVaccine #Jesus #Christians #ENDTIMES #Texas #florida 

https://t.co/187qJkFYwg https://t.co/F5vMCcjQRd","Texas, USA"
29-04-2021,"I'M NOT THROWING AWAY MY SHOT!!
Thank you @UWHealth! Got my second Covid shot today. Super easy and smooth, even though I don't like needles. You can get yours today too!
#COVID19Vaccine #CovidVaccine #COVID19Vaccination 
#Hamilton @HamiltonMusical https://t.co/EpOnkqWMeL","Wisconsin, USA"
29-04-2021,#JointAddress could have been a window into the future #JoeBiden could have showed what a room with over 500 people who have been fully vaccinated looks like I can he except us to pack into a #MLB stadium when he didn’t pack Congress into a room. #CovidVaccine,"Georgia, USA"
